Population size:	Max generations:	Selection:	Recombination:	Recombination prob.:	Mutation:	Mutation prob.:	Agents:	Picks:	Columns:	TW:	CW:	Heuristic:		Fitness(AVG):	Time(AVG):	Fitness StdDev:	Time StdDev	Collisions (AVG)	Collisions StdDev	stdDevPicksPerAgent (AVG)
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	11	12	1	0	GA		591.82	591.82	96.76077511	96.76077511	0.97	1.526138919	1.425559686
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	11	12	1	0	GAxN		639.16	639.16	123.5499672	123.5499672	0.4	0.836660027	1.268312784
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	11	12	1	0	K-Means		757.69	757.69	174.3289818	174.3289818	0.76	0.949947367	1.268312784
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	4	11	12	1	0	Hybrid		650.31	650.31	123.291743	123.291743	0.62	0.771751255	1.268312784
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	11	12	1	0	GA		578.16	578.16	90.34198581	90.34198581	0.9	1.7	1.361227572
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	11	12	1	0	GAxN		617.85	617.85	114.3381279	114.3381279	0.6	1.077032961	1.04882782
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	11	12	1	0	K-Means		699.81	699.81	150.7540179	150.7540179	0.91	1.24173266	1.04882782
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	5	11	12	1	0	Hybrid		621.35	621.35	114.2941271	114.2941271	0.95	1.24398553	1.04882782
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	12	12	1	0	GA		1012.09	1012.09	172.7406203	172.7406203	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	12	12	1	0	GAxN		1012.09	1012.09	172.7406203	172.7406203	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	12	12	1	0	K-Means		1955.3	1955.3	396.1986244	396.1986244	0	0	0
100	100	Tournament(2)	PMX recombination (0.8)	0.8	Inversion mutation (0.025)	0.025	1	12	12	1	0	Hybrid		1536.28	1536.28	276.782011	276.782011	0	0	0
